"doc_id","entity_type","entity"
"text1","ORG","Yummy"
"text1","GPE","Hangover"
"text1","NORP","Filling"
"text1","GPE","Kindness"
"text1","GPE","Chicago"
"text1","ORG","TNT"
"text1","PERSON","Jennifer"
"text2","PERSON","Gutted"
"text2","NORP","Irishman"
"text2","ORG","Petone"
"text2","PERSON","Metallica"
"text2","ORG","Emerging_Technologies"
"text2","PERSON","H.P._Lovecraft"
"text2","GPE","Pomare"
"text2","GPE","Netherlands"
"text2","GPE","Bah"
"text3","GPE","friend?If"
"text3","PERSON","Taylor"
"text3","NORP","Kimosabe"
"text3","ORG","weekend.butt"
"text3","ORG","SUPER"
"text3","PERSON","Til"
"text3","ORG","MY_LIFE"
"text3","PERSON","Knew"
"text3","GPE","call!-keshai"
"text3","ORG","
_Playing"
"text3","GPE","tomorrowIm"
"text3","PERSON","Marilyn_Monroe"
"text3","PERSON","Sarah"
"text4","ORG","BABY_BABA"
"text4","ORG","MUMBAI"
"text4","GPE","INDIANS_ROCK"
"text4","ORG","Nirali"
"text4","PERSON","John"
"text4","ORG","STATUS"
"text4","ORG","EQUAL"
"text4","ORG","FACEBOOK"
"text4","PERSON","Insert"
"text4","ORG","COIN"
"text4","ORG","BORED"
"text4","ORG","
_Rotaract"
"text4","ORG","BOREDOM"
"text4","ORG","MEN"
"text4","ORG","COMMERCIALS"
"text4","ORG","BIG_TIME"
"text4","ORG","SINGLES"
"text4","ORG","
_Orange_Candy"
"text4","PERSON","YUMMYYYYY_Cake"
"text4","PERSON","Orca"
"text4","ORG","BOURNVITA"
"text4","ORG","Jaipur_n_Pushkar"
"text4","ORG","
_Tissue_Milkshake"
"text4","PERSON","Glass"
"text4","ORG","Pooja_Advani_
"
"text4","ORG","KAR"
"text5","ORG","GUY"
"text5","GPE","ASS"
"text5","WORK","
_DAW_AKU_NUNG_UNA_PA>>>KAYA"
"text5","ORG","PALA"
"text5","ORG","PUMAPAYAG_XA_NA_XA"
"text5","ORG","MAGDALA"
"text5","PERSON","KALA_NYU"
"text5","LOC","MIDDLE_FINGER"
"text5","NORP","HAHAHA"
"text5","ORG","ulan.,.kusog"
"text5","PRODUCT","2log"
"text5","GPE","ma2lug"
"text5","ORG","UFC_
"
"text5","GPE","FASTT"
"text5","GPE","Australia"
"text5","ORG","Gwapo"
"text6","ORG","Scholarships4Moms"
"text6","GPE","Facebook"
